sku,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label
H4501121,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen
H4501122,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen,coche-teledirigido-descapotable-bentley-continental-gt.jpg,coche-teledirigido-descapotable-bentley-continental-gt imagen
H4501123,coche-teledirigido-ferrari-f138.jpg,coche-teledirigido-ferrari-f138 imagen,coche-teledirigido-ferrari-f138.jpg,coche-teledirigido-ferrari-f138 imagen,coche-teledirigido-ferrari-f138.jpg,coche-teledirigido-ferrari-f138 imagen
H4501124,coche-teledirigido-lamborghini-aventador-j.jpg,coche-teledirigido-lamborghini-aventador-j imagen,coche-teledirigido-lamborghini-aventador-j.jpg,coche-teledirigido-lamborghini-aventador-j imagen,coche-teledirigido-lamborghini-aventador-j.jpg,coche-teledirigido-lamborghini-aventador-j imagen
H4501126,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen
H4501127,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen,coche-teledirigido-lamborghini-huracan-lp-610-4.jpg,coche-teledirigido-lamborghini-huracan-lp-610-4 imagen
H4501129,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen
H4501130,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse.jpg,coche-teledirigido-bugatti-veyron-164-grand-sport-vitesse imagen
H4501132,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen
H4501133,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen,coche-teledirigido-porsche-918-spyder.jpg,coche-teledirigido-porsche-918-spyder imagen
